code_insee
75101
75102
75103
75104
75105
75106
75107
75108
75109
75110
75111
75112
75113
75114
75115
75116
75116
75117
75118
75119
75120
75056
13055
69123
31555
6088
44109
34172
67482
33063
59350
35238
83137
51454
42218
76351
69266
21231
49007
38185
97411
30189
93066
13001
63113
72181
29019
37261
80021
74010
87085
57463
66136
92012
25056
45234
76540
93048
14118
95018
97415
68224
54395
59512
59599
92050
94081
98818
94028
84007
92004
92025
93001
86194
59183
93005
97416
78646
97422
92026
92063
34032
17300
64445
94017
50129
33281
6004
94068
2A004
97209
6029
44184
93051
97611
93029
95127
92044
92040
62193
68066
33318
69259
91228
92024
29232
94041
26362
18033
92002
97302
83126
10387
82121
59009
93055
73065
79191
93007
92051
95585
83061
56121
94076
97409
94046
92023
11262
77284
60057
83069
93008
56260
85191
97414
77108
49099
91174
93031
64102
93070
2691
6027
94033
69256
97101
97311
93071
78586
13004
93010
92036
81004
91377
44162
53130
69290
92073
13056
85194
6069
94080
27229
13005
2B033
35288
41018
93027
19031
92048
93046
11069
92049
94022
93064
93053
33522
90010
8105
94002
78551
34301
30007
22278
71076
13103
65440
78361
92062
13047
77288
92007
69034
44143
51108
36044
59606
69029
57672
81065
62041
95268
64024
33550
1053
93006
16015
31149
62160
59650
60159
78498
93032
83050
5061
93072
26198
6030
59378
59178
93078
97213
97412
77373
93050
37122
93073
95252
38421
28085
69149
91589
74281
13028
74012
97410
83129
38151
83118
13117
60175
91027
69282
97408
78172
69264
92020
94078
67180
91477
98805
91549
97413
42207
97418
97307
92019
93063
42187
89024
71270
94058
95063
67447
78621
78440
97407
78311
3185
58194
13054
26281
94052
33449
62498
94079
88160
47001
73008
97610
78423
94073
78490
95306
6123
95500
59122
38544
97801
69286
40192
94038
91657
28134
91687
86066
78158
33039
95280
97103
84031
77445
94016
6083
91521
92046
62510
78146
